,text,labels
0,[C][C][O][C][=C][C][=C][N][=C][Branch1_1][Branch2_2][S][Branch1_1][C][N][Branch1_2][C][=O][=O][S][C][Ring1][Branch2_2][=C][Ring1][=N],0.0
1,[C][C][N][C][Branch1_2][C][=O][N][C][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][Ring1][N][=O],0.0
2,[C][C][C@expl][Branch1_1][C][O][C][C][C@Hexpl][C@@Hexpl][C][C][C][=C][C][C][C][C@@Hexpl][Ring1][Branch1_2][C@Hexpl][Ring1][Branch2_3][C][C][C@@expl][Ring1][=C][Ring2][Ring1][C][C],0.0
3,[C][C][C][N][Branch1_1][Ring1][C][C][C][Branch1_1][Ring1][C][C][C][Branch1_2][C][=O][N][C][=C][Branch1_1][C][C][C][=C][C][=C][Ring1][Branch1_3][C],0.0
4,[C][C][Branch1_1][C][O][Branch1_1][Branch2_2][P][Branch1_2][C][=O][Branch1_1][C][O][O][P][Branch1_2][C][=O][Branch1_1][C][O][O],0.0
5,[C][C][Branch1_1][C][C][Branch1_1][C][C][O][O][C][Branch1_1][C][C][Branch1_1][C][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][O][O][C][Branch1_1][C][C][Branch1_1][C][C][C],0.0
6,[O][=S][Branch1_2][C][=O][Branch1_1][C][Cl][C][=C][C][=C][C][=C][Ring1][Branch1_2],0.0
7,[O][=C][Branch1_1][C][O][C][C][=C][C][Branch1_1][C][I][=C][Branch1_1][S][O][C][=C][C][=C][Branch1_1][C][O][C][Branch1_1][C][I][=C][Ring1][Branch2_1][C][Branch1_1][C][I][=C][Ring1][P],0.0
8,[O][C][C@Hexpl][Branch1_1][C][O][C@@Hexpl][Branch1_1][C][O][C@Hexpl][Branch1_1][C][O][C][O],0.0
9,[C][C][C][C][C][C][C][C][Branch1_2][C][=O][O-expl].[C][C][C][C][C][C][C][C][Branch1_2][C][=O][O-expl].[Zn+2expl],0.0
10,[N][C][Branch1_2][C][=O][C][=C][C][=C][N+expl][Branch2_1][Branch1_1][S][C@@Hexpl][O][C@Hexpl][Branch2_1][Ring2][P][C][O][P][Branch1_2][C][=O][Branch1_1][C][O-expl][O][P][Branch1_2][C][=O][Branch1_1][C][O][O][C][C@Hexpl][O][C@@Hexpl][Branch1_1][P][N][C][=N][C][=C][Branch1_1][C][N][N][=C][N][=C][Ring1][Branch1_3][Ring1][Branch2_3][C@Hexpl][Branch1_1][C][O][C@@Hexpl][Ring1][S][O][C@@Hexpl][Branch1_1][C][O][C@Hexpl][Ring2][Ring2][C][O][=C][Ring2][Ring2][Branch2_2],0.0
11,[O][=C][NHexpl][C][Branch1_2][C][=O][N][Branch1_1][#C][C@Hexpl][C][C@Hexpl][Branch1_1][C][O][C@@Hexpl][Branch1_1][Ring1][C][O][O][Ring1][Branch2_1][C][=C][Ring1][#C][I],0.0
12,[C][C][Branch1_1][C][C][C][O][C][Branch1_2][C][=O][C][Branch1_1][C][C][C],0.0
13,[C][=C][Branch1_1][C][C][C][Branch1_2][C][=O][O][C][C][O][C][Branch1_2][C][=O][C][Branch1_2][C][=C][C],0.0
14,[Cl][/C][=C][\C][N+expl][C][N][C][N][Branch1_1][O][C][N][Branch1_1][Ring2][C][Ring1][Branch1_2][C][Ring1][Branch2_2][C][Ring1][Branch2_3],0.0
15,[O][=C][Branch1_1][C][O-expl][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][Branch2_3][Ring1][Branch1_2],0.0
16,[C][C][C][C][C][C][C][C][C][C][O][C][C][Branch1_1][C][O][C][N],0.0
17,[C][C][N][Branch1_1][Ring1][C][C][C][Branch1_2][C][=O][C][=C][C][=C][N][=C][Ring1][Branch1_2],0.0
18,[C][O][C][=C][C][Branch1_1][C][O][=C][C][Branch1_1][C][O][=C][Ring1][Branch2_1],0.0
19,[C][C][O][C][Branch1_2][C][=O][C][=C][C][=C][N][=C][Ring1][Branch1_2],0.0
20,[C][C][O][C][=C][C][=C][Branch1_1][Branch2_2][S][Branch1_2][C][=O][Branch1_2][C][=O][O][C][=C][C][=C][N][=C][Ring1][=C][Ring1][Branch1_2],0.0
21,[O][=C][Branch1_1][C][O][C@Hexpl][Branch1_1][C][O][C][=C][C][=C][C][=C][Ring1][Branch1_2],0.0
22,[N][C][=C][C][=C][Branch1_1][O][/N][=N][/C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][Ring1][=C],0.0
23,[C][N][C@@Hexpl][C][C@@Hexpl][Branch1_1][#C][C][=C][C][=C][Branch1_1][C][Cl][C][Branch1_1][C][Cl][=C][Ring1][Branch2_1][C][=C][C][=C][C][=C][Ring1][Branch1_2][Ring1][P],0.0
24,[C][N][C@Hexpl][C][C][C@@Hexpl][Ring1][Branch1_1][C][C@Hexpl][Branch2_1][Ring1][Ring2][O][C][Branch1_2][C][=O][C][=C][C][Branch1_1][C][Cl][=C][C][Branch1_1][C][Cl][=C][Ring1][Branch2_1][C][Ring2][Ring1][C],0.0
25,[C][N][Branch1_1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][C][C][=C][C][=C][Branch1_1][C][Cl][C][=C][Ring1][Branch1_3][Ring1][S],0.0
26,[C][#C][C][O],0.0
27,[N][C][=C][C][=C][C][=C][Ring1][Branch1_2][S][Branch1_2][C][=O][Branch1_2][C][=O][O],0.0
28,[C][C][Branch1_1][C][O][C][C][Branch1_1][C][C][Branch1_1][C][C][O],0.0
29,[C][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][N],0.0
30,[C][C][Branch1_2][C][=O][C][C][Branch1_1][C][C][C],0.0
31,[C][C][C][C][Branch1_1][C][C][=O],0.0
32,[N][C][=N][C][=C][C][=C][C][=C][Ring1][Branch1_2][NHexpl][Ring1][Branch2_2],0.0
33,[O][C][=C][Branch1_1][C][Cl][C][Branch1_1][C][Cl][=C][Branch1_1][C][Cl][C][Branch1_1][C][Cl][=C][Ring1][Branch2_3][Cl],0.0
34,[C][=C][C][=C][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][Ring1][N],0.0
35,[C][N][C][Branch1_2][C][=O][N][C][=C][C][=C][Branch1_1][C][Cl][C][Branch1_1][C][Cl][=C][Ring1][Branch2_1],0.0
36,[C][C][Branch1_2][C][=O][N][C][=C][C][=C][Branch1_1][C][C][C][Branch1_1][C][Cl][=C][Ring1][Branch2_1],0.0
37,[C][C][C][C][N][C][Branch1_2][C][=S][N][C][C][C][C],0.0
38,[C][C][C][C][N][C][Branch1_2][C][=O][N][C][C][C][C],0.0
39,[C][C][Branch1_1][C][C][N][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][Branch1_1][C][C][C],0.0
40,[C][C][C][=C][C][=C][C][Branch1_1][C][C][=C][Ring1][Branch1_3],0.0
41,[C][C][Branch1_1][C][C][C][C][C][C][C][C][C][O][P][Branch1_1][=C][O][C][C][C][C][C][C][C][C][Branch1_1][C][C][C][O][C][=C][C][=C][C][=C][Ring1][Branch1_2],0.0
42,[C][C][C][C][C][C][C][C][/C][=C][\C][C][C][C][C][C][C][C][Branch1_2][C][=O][O][C][Branch1_1][Ring1][C][O][C][O],0.0
43,[C][C][C][C][C][C][C][C][C][C][C][=C][C][C][C][Branch1_2][C][=O][O][C][Ring1][Branch1_2][=O],0.0
44,[C][C][Branch1_1][C][C][C][Branch2_1][Ring1][Branch1_1][N][C][=C][C][=C][Branch1_1][Branch2_2][C][Branch1_1][C][F][Branch1_1][C][F][F][C][=C][Ring1][Branch2_3][Cl][C][Branch1_2][C][=O][O][C][Branch1_1][Ring1][C][#N][C][=C][C][=C][C][Branch1_1][Branch2_3][O][C][=C][C][=C][C][=C][Ring1][Branch1_2][=C][Ring1][=N],0.0
45,[C][S][Branch1_2][C][=O][Branch1_2][C][=O][N][C][Branch1_2][C][=O][C][=C][C][Branch2_1][Ring1][Branch1_1][O][C][=C][C][=C][Branch1_1][Branch2_2][C][Branch1_1][C][F][Branch1_1][C][F][F][C][=C][Ring1][Branch2_3][Cl][=C][C][=C][Ring2][Ring1][C][N+expl][Branch1_2][C][=O][O-expl],0.0
46,[C][C][O][P][Branch1_2][C][=S][Branch1_1][Ring1][C][C][S][C][=C][C][=C][C][=C][Ring1][Branch1_2],1.0
47,[C][C][/C][=C][\C][C][C][C][O],0.0
48,[N][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][Branch1_2][C][=O][O][C][=C][C][=C][C][=C][C][=C][C][Ring1][Branch1_2][=C][Ring1][Branch2_3],0.0
49,[C][=C][C@Hexpl][C][N][C][C][C][Ring1][Branch1_2][C][C@Hexpl][Ring1][Branch1_2][C@Hexpl][Branch1_1][C][O][C][=C][C][=N][C][=C][C][=C][Branch1_1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2_1],0.0
50,[C][C][Branch1_2][C][=O][C][C][C][Branch1_1][C][C][=O],0.0
51,[N][#C][C][C][N][C][C][C][#N],0.0
