text,labels
[N][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N],1
[C][=C][C][=C][Branch1][=N][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][S],1
[O][=C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][O],1
[N][C][=O],0
[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C@H1][Ring1][O][C@@H1][Ring1][#C][C][C][C@@H1][Ring2][Ring1][C][O],1
[C][C][C][Branch1][C][C][C][Branch1][C][C][=O],1
[C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][=C][C][Branch1][Ring1][C][#N][=C][C][Branch1][=N][N][C][=Branch1][C][=O][C][O][C][Branch1][C][C][=O][=C][Ring1][S][Cl],0
[C][C][N][C][C][N][Ring1][=Branch1].[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][#Branch2][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=C][Ring1][O][C][C][C@H1][Ring1][#C][C@@H1][Ring2][Ring1][Ring1][C][C][C][Ring2][Ring1][=Branch1][=O],1
[C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1
[C][=C][C@H1][C][N][C][C][C][Ring1][=Branch1][C][C@H1][Ring1][=Branch1][C@H1][Branch1][C][O][C][=C][C][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2],0
[C][N][C][=Branch1][C][=O][C][NH1][C][=N][C][=Ring1][Branch1][N][Branch1][C][C][C][Ring1][O][=O],1
[C][C][O][C][=Branch1][C][=O][C][=C][N][=C][C][Branch1][Branch2][C][=N][N][Ring1][Branch1][C][C][=C][Ring1][O][N][N][=C][Branch1][C][C][C],0
[C][C][#C][C][C][Branch1][C][C][C@H1][Branch1][C][O][/C][=C][/C][C@H1][C][/C][=Branch1][#Branch2][=C][/C][C][C][C][=Branch1][C][=O][O][C][C@H1][Ring1][N][C][C@H1][Ring1][#C][O],1
[O][=C][O][C][Branch2][Ring1][P][O][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][=N],0
[C][C][=Branch1][C][=O][O][C@H1][C][C][C@@][Branch1][C][C][C][=Branch2][Ring1][S][=C][C][C@H1][C@@H1][C][C][=C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][C@@][Ring1][O][Branch1][C][C][C][C][C@@H1][Ring1][S][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2],1
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][N][=Ring1][O],1
[O][=C][Branch1][=N][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][O],1
[O][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=C][O][C][=C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][Ring1][Ring1][Branch2],1
[N][C][=N][C][Branch1][C][N][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring1][=N],1
[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[F][B-1][Branch1][C][F][Branch1][C][F][F],0
[C][O][C@H1][C@@H1][Branch1][C][O][C@H1][Branch1][C][N][C@@H1][Branch2][Ring1][C][O][C@H1][O][C@H1][Branch1][=Branch1][C@H1][Branch1][C][C][N][C][C][C@H1][Ring1][=Branch2][N][C@H1][Branch1][C][O][C@@H1][Ring2][Ring1][Ring2][N][Branch1][C][C][C][=Branch1][C][=O][C][N],1
[C][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],0
[N][C][=N][C][=Branch1][C][=O][C][=N][C][Branch2][Ring2][Ring1][C][N][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][C][=C][N][=C][Ring2][Ring1][#Branch2][NH1][Ring2][Ring1][#C],1
[C][=Branch1][#Branch2][=C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][C][C][=Branch1][C][=O][O-1].[C][C][C][=Branch1][C][=O][O-1],0
[O][=P][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][C][C][C][C][C][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][C][C][=Branch1][C][=O][O][C][C][N+1][Branch1][C][C][Branch1][Ring1][C][C][C][C][C][=C][Ring1][P],0
[C][C][C][C][=Branch1][C][=O][C][C],1
[C][N][C][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C@@H1][Ring1][S][C][Ring2][Ring1][Ring1],0
[C][O][C][=Branch1][C][=O][C][=C][Branch1][C][C][N][C][Branch1][C][C][=C][Branch1][N][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][C][Ring1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],0
[C][=C][C][=Branch1][C][=O][O][C][C][O][C][C][O][C][C][O][C][C][O][C][=Branch1][C][=O][C][=C],0
[O][=C][Branch2][Ring1][=Branch1][C][C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][C][C][C][Ring1][Branch2],0
[N][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=N],1
[C][C][Branch1][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1
[O][=S][=Branch1][C][=O][Branch1][C][O][N][C][C][C][C][C][C][Ring1][=Branch1],0
[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl],0
[C][C][O][C][=C][C][=C][C][Branch2][Branch1][N][N][C][=C][Branch2][Ring2][=Branch1][C][=Branch1][C][=O][N][C][C][N][Branch2][Ring1][=Branch1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][=N][C][C][Ring2][Ring1][Ring1][N][=C][Ring2][Ring1][#Branch2][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Ring2][Ring2][#Branch1],0
[O][=N+1][Branch1][C][O-1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],0
[C][C@][C][C@H1][Branch1][C][O][C@@][Branch1][C][F][C@@H1][Branch1][P][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@@][Ring1][#Branch1][Ring1][N][C][C@@H1][Ring2][Ring1][C][C][C@@H1][Branch1][C][O][C@][Ring2][Ring1][=Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O],1
[C][C][=Branch1][C][=O][O][C@H1][C][C][C@@][Branch1][C][C][C][=Branch2][Ring1][Branch2][=C][C][C@H1][C@@H1][C][C][C][=Branch1][C][=O][C@@][Ring1][=Branch1][Branch1][C][C][C][C][C@@H1][Ring1][O][Ring1][S][C][Ring2][Ring1][Ring2],1
[C][C][C][C][C][C][C][C][O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2],0
[C][O][C][=C][C][=C][NH1][C][=C][Branch1][=Branch2][C][C][N][C][Branch1][C][C][=O][C][Ring1][O][=C][Ring1][#C],1
[C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],1
[C][=C][C][C][C][#N],0
[C][C][N][C][C][N][Ring1][=Branch1],1
[O][=C][Branch1][C][O-1][C][=C][C][Branch2][Ring1][Branch1][O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][Cl][=C][C][=C][Ring2][Ring1][C][N+1][=Branch1][C][=O][O-1],1
[C][C][C@H1][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C@@H1][Branch1][Ring1][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1
[C][C@H1][O][C@H1][Branch2][Ring2][#Branch2][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][Branch1][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][#C][N][C@H1][C][=C][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O],1
[C][C][C][C][S][C][C][C][C],0
[C][C][Branch1][C][C][C][Branch1][=C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][C][C][N][C][C][C],0
[C][C][Branch1][C][Cl][Branch1][C][Cl][C][=Branch1][C][=O][O-1],0
[C][C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1
[C][C][C][C][=Branch1][C][=O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O],0
[C][C][C][C][C][C][C][C][O][C][Branch1][C][C][=O],0
[O][=C][Branch1][C][O][C][=C][C][Branch1][C][Cl][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][#Branch2][Cl],0
