,text,labels
1082,[N][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N],1.0
2346,[C][=C][C][=C][Branch1][=N][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][S],1.0
1843,[O][=C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][O],1.0
6716,[N][C][=O],0.0
4111,[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C@H1][Ring1][O][C@@H1][Ring1][#C][C][C][C@@H1][Ring2][Ring1][C][O],1.0
2706,[C][C][C][Branch1][C][C][C][Branch1][C][C][=O],1.0
5255,[C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][=C][C][Branch1][Ring1][C][#N][=C][C][Branch1][=N][N][C][=Branch1][C][=O][C][O][C][Branch1][C][C][=O][=C][Ring1][S][Cl],0.0
7739,[C][C][N][C][C][N][Ring1][=Branch1].[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][#Branch2][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=C][Ring1][O][C][C][C@H1][Ring1][#C][C@@H1][Ring2][Ring1][Ring1][C][C][C][Ring2][Ring1][=Branch1][=O],1.0
4093,[C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1.0
342,[C][=C][C@H1][C][N][C][C][C][Ring1][=Branch1][C][C@H1][Ring1][=Branch1][C@H1][Branch1][C][O][C][=C][C][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2],0.0
3132,[C][N][C][=Branch1][C][=O][C][NH1][C][=N][C][=Ring1][Branch1][N][Branch1][C][C][C][Ring1][O][=O],1.0
3984,[C][C][O][C][=Branch1][C][=O][C][=C][N][=C][C][Branch1][Branch2][C][=N][N][Ring1][Branch1][C][C][=C][Ring1][O][N][N][=C][Branch1][C][C][C],0.0
7716,[C][C][#C][C][C][Branch1][C][C][C@H1][Branch1][C][O][/C][=C][/C][C@H1][C][/C][=Branch1][#Branch2][=C][/C][C][C][C][=Branch1][C][=O][O][C][C@H1][Ring1][N][C][C@H1][Ring1][#C][O],1.0
7063,[O][=C][O][C][Branch2][Ring1][P][O][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][=N],0.0
7401,[C][C][=Branch1][C][=O][O][C@H1][C][C][C@@][Branch1][C][C][C][=Branch2][Ring1][S][=C][C][C@H1][C@@H1][C][C][=C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][C@@][Ring1][O][Branch1][C][C][C][C][C@@H1][Ring1][S][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2],1.0
7663,[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][N][=Ring1][O],1.0
5618,[O][=C][Branch1][=N][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][O],1.0
3042,[O][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=C][O][C][=C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][Ring1][Ring1][Branch2],1.0
4280,[N][C][=N][C][Branch1][C][N][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring1][=N],1.0
5891,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[F][B-1][Branch1][C][F][Branch1][C][F][F],0.0
3970,[C][O][C@H1][C@@H1][Branch1][C][O][C@H1][Branch1][C][N][C@@H1][Branch2][Ring1][C][O][C@H1][O][C@H1][Branch1][=Branch1][C@H1][Branch1][C][C][N][C][C][C@H1][Ring1][=Branch2][N][C@H1][Branch1][C][O][C@@H1][Ring2][Ring1][Ring2][N][Branch1][C][C][C][=Branch1][C][=O][C][N],1.0
7506,[C][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],0.0
5694,[N][C][=N][C][=Branch1][C][=O][C][=N][C][Branch2][Ring2][Ring1][C][N][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][C][=C][N][=C][Ring2][Ring1][#Branch2][NH1][Ring2][Ring1][#C],1.0
4593,[C][=Branch1][#Branch2][=C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.0
5291,[C][C][C][=Branch1][C][=O][O-1].[C][C][C][=Branch1][C][=O][O-1],0.0
6272,[O][=P][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],1.0
3112,[C][C][C][C][C][C][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][C][C][=Branch1][C][=O][O][C][C][N+1][Branch1][C][C][Branch1][Ring1][C][C][C][C][C][=C][Ring1][P],0.0
6235,[C][C][C][C][=Branch1][C][=O][C][C],1.0
167,[C][N][C][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C@@H1][Ring1][S][C][Ring2][Ring1][Ring1],0.0
