text;labels
[C][C][O][C][=C][C][=C][N][=C][Branch1_1][Branch2_2][S][Branch1_1][C][N][Branch1_2][C][=O][=O][S][C][Ring1][Branch2_2][=C][Ring1][=N];1
[C][C][N][C][Branch1_2][C][=O][N][C][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][Ring1][N][=O];0
[C][C][C@expl][Branch1_1][C][O][C][C][C@Hexpl][C@@Hexpl][C][C][C][=C][C][C][C][C@@Hexpl][Ring1][Branch1_2][C@Hexpl][Ring1][Branch2_3][C][C][C@@expl][Ring1][=C][Ring2][Ring1][C][C];0
[C][C][C][N][Branch1_1][Ring1][C][C][C][Branch1_1][Ring1][C][C][C][Branch1_2][C][=O][N][C][=C][Branch1_1][C][C][C][=C][C][=C][Ring1][Branch1_3][C];0
[C][C][Branch1_1][C][O][Branch1_1][Branch2_2][P][Branch1_2][C][=O][Branch1_1][C][O][O][P][Branch1_2][C][=O][Branch1_1][C][O][O];0
[C][C][Branch1_1][C][C][Branch1_1][C][C][O][O][C][Branch1_1][C][C][Branch1_1][C][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][O][O][C][Branch1_1][C][C][Branch1_1][C][C][C];0
[O][=S][Branch1_2][C][=O][Branch1_1][C][Cl][C][=C][C][=C][C][=C][Ring1][Branch1_2];0
[O][=C][Branch1_1][C][O][C][C][=C][C][Branch1_1][C][I][=C][Branch1_1][S][O][C][=C][C][=C][Branch1_1][C][O][C][Branch1_1][C][I][=C][Ring1][Branch2_1][C][Branch1_1][C][I][=C][Ring1][P];1
[O][C][C@Hexpl][Branch1_1][C][O][C@@Hexpl][Branch1_1][C][O][C@Hexpl][Branch1_1][C][O][C][O];0
[C][C][C][C][C][C][C][C][Branch1_2][C][=O][O-expl].[C][C][C][C][C][C][C][C][Branch1_2][C][=O][O-expl].[Zn+2expl];0
[N][C][Branch1_2][C][=O][C][=C][C][=C][N+expl][Branch2_1][Branch1_1][S][C@@Hexpl][O][C@Hexpl][Branch2_1][Ring2][P][C][O][P][Branch1_2][C][=O][Branch1_1][C][O-expl][O][P][Branch1_2][C][=O][Branch1_1][C][O][O][C][C@Hexpl][O][C@@Hexpl][Branch1_1][P][N][C][=N][C][=C][Branch1_1][C][N][N][=C][N][=C][Ring1][Branch1_3][Ring1][Branch2_3][C@Hexpl][Branch1_1][C][O][C@@Hexpl][Ring1][S][O][C@@Hexpl][Branch1_1][C][O][C@Hexpl][Ring2][Ring2][C][O][=C][Ring2][Ring2][Branch2_2];0
[O][=C][NHexpl][C][Branch1_2][C][=O][N][Branch1_1][#C][C@Hexpl][C][C@Hexpl][Branch1_1][C][O][C@@Hexpl][Branch1_1][Ring1][C][O][O][Ring1][Branch2_1][C][=C][Ring1][#C][I];0
[C][C][Branch1_1][C][C][C][O][C][Branch1_2][C][=O][C][Branch1_1][C][C][C];0
[C][=C][Branch1_1][C][C][C][Branch1_2][C][=O][O][C][C][O][C][Branch1_2][C][=O][C][Branch1_2][C][=C][C];0
[Cl][/C][=C][\C][N+expl][C][N][C][N][Branch1_1][O][C][N][Branch1_1][Ring2][C][Ring1][Branch1_2][C][Ring1][Branch2_2][C][Ring1][Branch2_3];1
[O][=C][Branch1_1][C][O-expl][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][Branch2_3][Ring1][Branch1_2];1
[C][C][C][C][C][C][C][C][C][C][O][C][C][Branch1_1][C][O][C][N];0
[C][C][N][Branch1_1][Ring1][C][C][C][Branch1_2][C][=O][C][=C][C][=C][N][=C][Ring1][Branch1_2];0
[C][O][C][=C][C][Branch1_1][C][O][=C][C][Branch1_1][C][O][=C][Ring1][Branch2_1];0
[C][C][O][C][Branch1_2][C][=O][C][=C][C][=C][N][=C][Ring1][Branch1_2];0
[C][C][O][C][=C][C][=C][Branch1_1][Branch2_2][S][Branch1_2][C][=O][Branch1_2][C][=O][O][C][=C][C][=C][N][=C][Ring1][=C][Ring1][Branch1_2];1
[O][=C][Branch1_1][C][O][C@Hexpl][Branch1_1][C][O][C][=C][C][=C][C][=C][Ring1][Branch1_2];0
[N][C][=C][C][=C][Branch1_1][O][/N][=N][/C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][Ring1][=C];1
[C][N][C@@Hexpl][C][C@@Hexpl][Branch1_1][#C][C][=C][C][=C][Branch1_1][C][Cl][C][Branch1_1][C][Cl][=C][Ring1][Branch2_1][C][=C][C][=C][C][=C][Ring1][Branch1_2][Ring1][P];1
[C][N][C@Hexpl][C][C][C@@Hexpl][Ring1][Branch1_1][C][C@Hexpl][Branch2_1][Ring1][Ring2][O][C][Branch1_2][C][=O][C][=C][C][Branch1_1][C][Cl][=C][C][Branch1_1][C][Cl][=C][Ring1][Branch2_1][C][Ring2][Ring1][C];0
[C][N][Branch1_1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][C][C][=C][C][=C][Branch1_1][C][Cl][C][=C][Ring1][Branch1_3][Ring1][S];0
[C][#C][C][O];0
[N][C][=C][C][=C][C][=C][Ring1][Branch1_2][S][Branch1_2][C][=O][Branch1_2][C][=O][O];0
[C][C][Branch1_1][C][O][C][C][Branch1_1][C][C][Branch1_1][C][C][O];0
[C][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][N];0
[C][C][Branch1_2][C][=O][C][C][Branch1_1][C][C][C];0
[C][C][C][C][Branch1_1][C][C][=O];0
[N][C][=N][C][=C][C][=C][C][=C][Ring1][Branch1_2][NHexpl][Ring1][Branch2_2];1
